image_path,ISP,date,amount,year,month
../Data/Internet_bills_dialog/Images\1.png,Dialog,2022-11-04,2890.44,2022,11
../Data/Internet_bills_dialog/Images\10.png,Dialog,2023-01-04,2800.0,2023,1
../Data/Internet_bills_dialog/Images\11.png,Dialog,2023-01-26,4200.0,2023,1
../Data/Internet_bills_dialog/Images\12.png,Dialog,2023-01-26,4000.0,2023,1
../Data/Internet_bills_dialog/Images\2.png,Dialog,2022-03-23,500.0,2022,3
../Data/Internet_bills_dialog/Images\3.png,Dialog,2022-05-31,800.0,2022,5
../Data/Internet_bills_dialog/Images\4.png,Dialog,2022-07-04,2226.56,2022,7
../Data/Internet_bills_dialog/Images\5.png,Dialog,2022-07-15,800.0,2022,7
../Data/Internet_bills_dialog/Images\6.png,Dialog,2022-08-07,800.0,2022,8
../Data/Internet_bills_dialog/Images\7.png,Dialog,2022-08-28,4387.23,2022,8
../Data/Internet_bills_dialog/Images\8.png,Dialog,2022-11-04,700.0,2022,11
../Data/Internet_bills_dialog/Images\9.png,Dialog,2022-11-04,4200.0,2022,11
../Data/Internet_bills_slt\image1-1.png,SLT,2022-02-11,1513.77,2022,2
../Data/Internet_bills_slt\image2-1.png,SLT,2023-07-02,7551.97,2023,7
../Data/Internet_bills_slt\image3-1.png,SLT,2023-06-02,7828.77,2023,6
../Data/Internet_bills_slt\image4-1.png,SLT,2023-05-02,7786.65,2023,5
../Data/Internet_bills_slt\image5-1.png,SLT,2023-04-02,7317.28,2023,4
../Data/Internet_bills_slt\image6-1.png,SLT,2023-02-02,7317.28,2023,2
../Data/Internet_bills_slt\image7-1.png,SLT,2022-12-02,7618.15,2022,12
../Data/Internet_bills_slt\image8-1.png,SLT,2022-11-02,9531.73,2022,11
../Data/Internet_bills_slt\image9-1.png,SLT,2022-11-02,1513.77,2022,11
